id,year,name,url
2002-lancio,2002,Lancio Vacanze Di Branco Cerchio 2003,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkN5zsuAkWlJqqriNEJaLd8Bv2pcfcDiwmVRQQxs9Px6rA
2002-raccolta,2002,Raccolta Anno 2002-03,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkC5sZdKeblPqWl1NOulR_sBj9juVsWafzG1u28JXgRqAA
2002-vvdbc,2002,Vacanze Di Branco Cerchio 2003 - Masen Di Giovo (TN) - Il Signore Degli Anelli,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhNwlupkOfZFigJI-KamPCwBPx2gxaEq3NNmBKkr6KF2Vg
2003-campo,2003,Campo Estivo EG 2004 - Daone (TN) - Troy,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EiWk2ycinRJMmN3uH6JtryoB0IK3CssT0DXsjddNMCU6ww
2003-festeggiamenti,2003,Festeggiamenti Ventennale,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EsjvptZ6lvdEok9BDoNLUyUBSScmLa6vYjmvRzXRyk-oRQ
2003-raccolta,2003,Raccolta Anno 2003-04,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EgkMzATlSRRMhncuuzTnBAIBLtXC2NtsTm3qcgnubpgTIA
2003-vvdbc,2003,Vacanze Di Branco Cerchio 2004 - Balze (FC) - Harry Potter,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EoFaXClXr2NMpT74XFOo2NcBvsWkRH6hE7DKT90ovZyojw
2004-akela,2004,Akela Della Roccia Azzurra Sbaglia La Preda - 8 Ottobre 2005,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErgbqtCr5alPg0APFh9FA2wBl9rYEGGxcYMguXSYFfB79Q
2004-chiusura,2004,Chiusura Do Gruppo - 29 Maggio 2005 - Gli Incredibili,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ers6ePtybcRChEbEesC382YB6xaqZ-b4UTIny04WSrKXEA
2004-corsa,2004,Corsa Di Primavera Branchi - 9 Ottobre 2005 - Via Posta,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EoUPwyOfK-FCglAF2bms4SEB9IK0EWMyQBVE3M7WVI0iBw
2004-lancio,2004,Lancio Vacanze Di Branco Cerchio - 21 Maggio 2005 - Hercules,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ej6E0hcnDeFCleFW-n0mC7EBbTmPtY0qGDUZo6m3S2ceNg
2004-scoutball,2004,Scout Ball - Branco Della Roccia Azzurra - 2 Aprile 2005 - Via Posta,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EtY_ZmbxaMRMqZ9wLfQ5HkwBDL-5HnJ_KZ2M6BUmc_EEsg
2004-uscita,2004,Uscita Branco Della Roccia Azzurra - 7_8 Maggio 2005,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ElU2xa0qT7NNtBI93wOYJWMB5z5wmHPFRa1OjcTlXIrMbw
2004-vvdbc,2004,Vacanze Di Branco Cerchio 2005 - Fanano (MO) - Hercules,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Er1PCjZTeqBCsSko-va2sAUBKJTjvtlx87xpcRjG87Qlcg
2005-campo-estivo,2005,Campo Estivo EG 2006 - Lenzumo (TN) - Highlander,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EkQHxMHLGrpInif4XlhsH3wBbqbKlus-Cc2DIeJZgJIpDQ
2005-campo-invernale,2005,Campo Invernale EG 2006 - Lady Hawke,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EjJRfczGrvBLpP4w8P7HPR8BCrsvGVjkqkaR-tUJ1LoX-Q
2005-formazione,2005,Formazione Noviziato - 15 Ottobre 2005,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EpjnpjPZ3PZDkZPJVwcgS1kB2EDJAZ4WCWnuK9cJ7suL_w
2005-impresa,2005,Impresa Reparto Brownsea - Ottobre_Novembre 2005,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ElA651T4BXdHkbOM3cz8GK8BwmjBGibtwZ-s3gwNNx86nw
2005-promesse-eg,2005,Promesse EG - Via Posta - 22 Gennaio 2006,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/El0X79hFNedOk-3SmIADEf4Bmc6MdvPdyaE1_L4V5t58vg
2005-promesse-lc,2005,Promesse LC - Via Posta - 26 Febbraio 2006,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Egm9WXAIf7dIp029LaYYSAQBh3T93GvpKfPEmxcVy2-WXQ
2005-spettacolo,2005,Spettacolo Forrest Gump 2005 - Reparto Brownsea,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhQOrvDN5pdNv-zREVT0UtoBSi2abUjDMmZ3gpDbIGaHog
2005-torneo,2005,"Torneo Di Scoutball 2006 - Mirandola 1, Mirandola 2, Medolla",https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EgXy4bKR77BNm68dO1io934ByRevjLmYURog_83srUkqjw
2005-uscita-coca,2005,Uscita Di Co.Ca. - Ostiglia (MN) - 25_26 Marzo 2006,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ev2G7MyJoe1JvlBmyxwP2hkB5LU7XwIB3v8rufr1U6FQTA
2005-vvdbc,2005,Vacanze Di Branco Cerchio 2006 - Balze (FC) - Taron,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ElArivm6AkNPnNhF1JMspG0BBB8wK5wG6R9McuwFS1Safg
2006-alba,2006,"Alba Del Centenario Mirandola 1, Mirandola 2, Medolla E Masci - Parco Baden Powell",https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EqBNt5EjpdJHkjPD-vY0LxMBAS7A7Yo8iOzQeefKjcwSdw
2006-campo-estivo,2006,Campo Estivo EG 2007 - Lavarone (TN) - Eragon,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Eu1IQIc_h_5KgCHS3Y3O8h4BUQlbxMxDVaYGlcrkw2RXmA
2006-campo-invernale,2006,Campo Invernale EG 2007 - Giarola (RE) - Ghostbusters,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EhDOust9E0NIrXYtOtiO3HgBlf_yAwgm3ZoKyIR_Y29Pag
2006-chiusura,2006,Chiusura Anno Scout Col Mirandola 1,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ei1B0nR3hYhMutpTnSs8bXoBu3lm51H80XSzFMlthus2EA
2006-impresa,2006,Impresa Go-Kart Reparti Brownsea E Aquile Randagie - 2 Aprile 2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErpMA4Z3HtlIgz0U2B7qMloBgxAddM2fqepOedVd3ndWhw
2006-lancio,2006,Lancio Jamboree Centenario - 24 Febbraio 2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Ejy15bYH7cpGhCLDIZ4XRZQBCPiB82i6n2lTg1iKv1mVuQ
2006-partenze,2006,Partenze 2006_2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EpHCbodpYX1LuurhF4sTedgB-v29m4MNjfh8dp83CK4vGA
2006-promesse,2006,Promesse EG 2006,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Emiwv8_Ni0xBgeoS0-BTo1EBjDk5ZQte2sPLynLg7F5hMw
2006-uscita-alta,2006,Uscita Alta Sq. - Ostiglia (MN) - 12_13 Maggio 2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EguV0DkPi8VFhXdddNKWSZkBt9mhgBPG4RyRfMKSdJJXdg
2006-uscita-coca,2006,Uscita Di Co.Ca. - 10_11 Marzo 2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EgR1o41WO29FvBYOpP3zMLYBBkRdPbVj3Z84ebXP7VHuTw
2006-uscita-coca-2,2006,Uscita Di Co.Ca. - Santa Giustina Vigona - 9_10 Giugno 2007,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Epxq2ZEXLMRMqL_b4GrSX8kB7qzYzLkeNl4rC359R79TCA
2006-vvdbc,2006,Vacanze Di Branco Cerchio 2007 - Santa Sofia (FC) - Narnia,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Esl9PPuvaU5BokuojYlMvpkBviG77QlJ7RWB30oJXtZ3rA
2007-attivita,2007,Attività Di Gruppo Fine Centenario - 21 Gennaio 2008,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErZuGEHstc9CpGk62MB7tIoB5pNgffQgQjSXcKlsAyxw5A
2007-campo-estivo,2007,Campo Estivo EG 2008 - Praso (TN) - Pirati Dei Caraibi,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EiYligVNQyVEn8ncgAKKAz8BGYzcRMDZh-EIdTxTkEUbYg
2007-campo-invernale,2007,Campo Invernale EG 2008 - Neviano De Rossi (PR) - Saw,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErZ-xLXLkJtHoez56CCfTwIBx0KB37mkCOUdrE5vOBjsqA
2007-lancio,2007,Lancio Campo Estivo EG 2008 - Pirati Dei Caraibi,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Etf1acNuWVpBsNVh0qrS1psB9MXtAWN5ZKanFTlHAWMblA
2007-promesse,2007,Promesse EG 2008,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Esz3bz3hr_tIg1FXJceKBiwBjbnAZ0GUlF8KRlkjGeTOkw
2007-san-giorgio,2007,San Giorgio 2008 - Ai Barchessoni Col Mirandola 1,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/Elk_TI_ov21EtcPj2PutNJkBCS6U-k-P4qkloMegchh5zQ
2007-vvdbc,2007,Vacanze Di Branco Cerchio 2008 - Lagrimone (PR) - Pirati Dei Caraibi,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EqJAblnM-7RHrLuCYxtvKeMBmJhFDXN7DtLOaznXOBe5Gg
2008-attivita,2008,Attività Chiusura Di Gruppo - 30 Maggio 2009 - Scooby Doo,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EnF6KJhUi31OhFT2slN5YFEBK7BKXJtptfJTgJSrSWd7jQ
2008-caccia-volo,2008,Caccia_Volo Regionale 2009 - Pinarella Di Cervia (RA),https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/ErmmAB9I4uNLtMysh2UtUWQBdNB8Umz3nPladQepjg6OuQ
2008-capitolo,2008,Capitolo Regionale RS - 9_10 Maggio 2009,https://agesci-my.sharepoint.com/:f:/g/personal/mirandola2_emiro_agesci_it/EmY1gVpHwYRClkJ5uKNMhyIBcwgN0mYDelNo1cOqoSEY6Q
